Designator,Mid X,Mid Y,Rotation,Layer
A1,158.260001,-73.25,180.0,top
C1,157.480001,-97.77,0.0,top
C10,181.330001,-78.395,180.0,top
C11,181.330001,-81.895,180.0,top
C12,194.22,-98.8326,90.0,top
C13,190.27,-100.21,90.0,top
C14,146.690001,-85.77,270.0,top
C15,143.260001,-85.79,270.0,top
C2,194.225,-90.55,90.0,top
C3,194.22,-107.05,90.0,top
C4,165.905001,-101.145,0.0,top
C5,190.27,-91.91,90.0,top
C6,190.25,-108.425,90.0,top
C7,182.280001,-69.3,180.0,top
C8,187.905,-73.47,0.0,top
C9,181.330001,-74.645,180.0,top
D1,194.055001,-68.92,0.0,top
D2,174.625,-108.775,90.0,top
J1,181.397501,-60.625,270.0,top
J2,184.05,-110.925,180.0,top
J3,181.55,-94.425,180.0,top
J4,182.8,-102.675,180.0,top
J5,143.725,-73.225,90.0,top
Q1,194.46,-63.0,180.0,top
Q2,150.93,-112.475,0.0,top
Q3,163.405001,-106.094999,270.0,top
Q4,164.14,-112.139999,90.0,top
Q5,170.475,-109.864999,90.0,top
R1,148.205001,-102.8,270.0,top
R2,151.730001,-102.795,270.0,top
R3,159.155001,-105.97,270.0,top
R4,155.580001,-107.495,270.0,top
R5,169.625,-87.725,90.0,top
R6,144.7,-102.8,90.0,top
SW1,171.92,-64.04,90.0,top
